"No.","Time","Source","Destination","Protocol","Length","Info"
"1371","31.948264500","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1372","31.998667300","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13431 Ack=48276 Win=520 Len=0"
"1373","31.998709400","10.33.98.162","204.80.128.1","TLSv1.2","234","Application Data, Application Data, Application Data, Application Data"
"1374","32.075926000","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=13431 Ack=48456 Win=520 Len=0"
"1375","32.216728100","204.80.128.1","10.33.98.162","TLSv1.2","125","Application Data"
"1376","32.263498800","10.33.98.162","204.80.128.1","TCP","54","63539  >  443 [ACK] Seq=48456 Ack=13502 Win=252 Len=0"
"1377","32.597858600","10.33.98.162","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1378","32.598120900","fe80::335b:ff99:bc5f:c321","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"1379","32.598540200","10.33.98.162","204.80.128.1","TLSv1.2","187","Application Data"
"1380","32.598594700","10.33.98.162","123.16.110.247","UDP","163","9993  >  63138 Len=121"
"1381","32.598611600","10.33.98.162","123.16.110.247","UDP","163","30061  >  63138 Len=121"
"1382","32.598627900","10.33.98.162","123.16.110.247","UDP","163","55933  >  63138 Len=121"
"1383","32.599003900","10.33.98.162","79.127.159.187","UDP","365","9993  >  9993 Len=323"
"1384","32.599031200","10.33.98.162","79.127.159.187","UDP","365","30061  >  9993 Len=323"
"1385","32.599048900","10.33.98.162","79.127.159.187","UDP","365","55933  >  9993 Len=323"
"1386","32.599072100","10.33.98.162","35.208.142.93","UDP","365","9993  >  21049 Len=323"
"1387","32.599083900","10.33.98.162","35.208.142.93","UDP","365","30061  >  21049 Len=323"
"1388","32.599097300","10.33.98.162","35.208.142.93","UDP","365","55933  >  21049 Len=323"
